MEXICOCITY LATITUDE    19.33     LONGITUDE     260.82    ALTITUDE    2274 M
MEXICOCITY INSTRUMENT   6-NM-64  NEUTRON MONITOR
MEXICOCITY STANDARD PRESSURE    779     MB     COEFFICIENT   -0.7125   % / MB
MEXICOCITY PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
MEXICOCITY PRE-INCREASE AVERAGE COUNTING RATE    203.78      COUNTS PER SECOND
MEXICOCITY TIME INTERVALS    300         3600     
MEXICOCITY SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
MEXICOCITY 010416 3600 070000-080000   00     211.51  774.3    205.06     0.60    -9999
MEXICOCITY 010416 3600 080000-090000   00     212.07  774.0    205.10     0.60    -9999
MEXICOCITY 010416 3600 090000-100000   00     211.78  773.9    204.68     0.40    -9999
MEXICOCITY 010416 3600 100000-110000   00     212.33  774.0    205.38     0.80    -9999
MEXICOCITY 010416 3600 110000-120000   00     211.12  774.4    204.72     0.50    -9999
MEXICOCITY 010416 3600 120000-130000   00     210.82  774.8    205.02     0.60    -9999
MEXICOCITY 010416 3600 130000-140000   00     209.98  775.3    205.02     0.60    -9999
MEXICOCITY 010416 3600 140000-150000   00     209.70  775.7    205.30     0.70    -9999
MEXICOCITY 010416 3600 150000-160000   00     209.85  775.9    205.79     1.00    -9999
MEXICOCITY 010416 3600 160000-170000   00     209.84  775.7    205.51     0.80    -9999
MEXICOCITY 010416 3600 170000-180000   00     211.69  775.2    206.48     1.30    -9999
MEXICOCITY 010416 3600 180000-190000   00     213.14  774.4    206.79     1.50    -9999
MEXICOCITY 010416 3600 190000-200000   00     214.14  773.7    206.69     1.40    -9999
MEXICOCITY 010416 3600 200000-210000   00     217.12  772.8    208.22     2.20    -9999
MEXICOCITY 010416 3600 210000-220000   00     218.64  771.8    208.23     2.20    -9999
MEXICOCITY 010416 3600 220000-230000   00     219.12  771.3    207.89     2.00    -9999
MEXICOCITY 010416 3600 230000-240000   00     218.19  771.5    207.40     1.80    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060MXCO.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
