APATITY  L LATITUDE    67.55     LONGITUDE     33.33     ALTITUDE    177 M
APATITY  L INSTRUMENT   18NM64    NEUTRON MONITOR	
APATITY  L STANDARD PRESSURE    1000    MB     COEFFICIENT   -0.72     % / MB
APATITY  L PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
APATITY  L PRE-INCREASE AVERAGE COUNTING RATE    173.69      COUNTS PER SECOND
APATITY  L TIME INTERVALS    300         3600     
APATITY  L SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
APATITY  L 120517 300  145500-150000   00     175.24  996.3    170.69    -1.70    -9999
APATITY  L 120517 300  150000-150500   00     176.65  996.1    171.81    -1.10    -9999
APATITY  L 120517 300  150500-151000   00     177.04  995.9    171.93    -1.00    -9999
APATITY  L 120517 300  151000-151500   00     178.14  995.6    172.56    -0.70    -9999
APATITY  L 120517 300  151500-152000   00     180.29  995.4    174.46     0.40    -9999
APATITY  L 120517 300  152000-152500   00     178.61  995.5    172.88    -0.50    -9999
APATITY  L 120517 300  152500-153000   00     179.56  995.4    173.77     0.00    -9999
APATITY  L 120517 300  153000-153500   00     178.37  995.4    172.59    -0.60    -9999
APATITY  L 120517 300  153500-154000   00     180.50  995.2    174.35     0.40    -9999
APATITY  L 120517 300  154000-154500   00     181.24  994.7    174.45     0.40    -9999
APATITY  L 120517 300  154500-155000   00     182.20  994.5    175.08     0.80    -9999
APATITY  L 120517 300  155000-155500   00     178.80  994.5    171.89    -1.00    -9999
APATITY  L 120517 300  155500-160000   00     180.84  994.6    173.91     0.10    -9999
APATITY  L 120517 300  160000-160500   00     180.99  994.5    174.00     0.20    -9999
APATITY  L 120517 300  160500-161000   00     181.46  994.5    174.45     0.40    -9999
APATITY  L 120517 300  161000-161500   00     181.21  994.4    174.02     0.20    -9999
APATITY  L 120517 300  161500-162000   00     181.28  994.2    173.88     0.10    -9999
APATITY  L 120517 300  162000-162500   00     180.18  994.3    172.94    -0.40    -9999
APATITY  L 120517 300  162500-163000   00     180.82  994.2    173.48    -0.10    -9999
APATITY  L 120517 300  163000-163500   00     181.75  994.1    174.25     0.30    -9999
