SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    680     mb     COEFFICIENT   -0.69     % / mb
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    301.39      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
SOUTH POLE 120517 300  151500-152000   00     309.81  679.5    308.84     2.50    -9999
SOUTH POLE 120517 300  152000-152500   00     305.65  679.5    304.60     1.10    -9999
SOUTH POLE 120517 300  152500-153000   00     305.18  679.4    304.06     0.90    -9999
SOUTH POLE 120517 300  153000-153500   00     304.95  679.4    303.80     0.80    -9999
SOUTH POLE 120517 300  153500-154000   00     304.91  679.4    303.72     0.80    -9999
SOUTH POLE 120517 300  154000-154500   00     306.27  679.4    304.95     1.20    -9999
SOUTH POLE 120517 300  154500-155000   00     307.45  679.3    306.01     1.50    -9999
SOUTH POLE 120517 300  155000-155500   00     307.96  679.3    306.46     1.70    -9999
SOUTH POLE 120517 300  155500-160000   00     306.34  679.3    304.80     1.10    -9999
SOUTH POLE 120517 300  160000-160500   00     307.14  679.2    305.46     1.40    -9999
SOUTH POLE 120517 300  160500-161000   00     310.25  679.2    308.44     2.30    -9999
SOUTH POLE 120517 300  161000-161500   00     308.45  679.1    306.62     1.70    -9999
SOUTH POLE 120517 300  161500-162000   00     305.99  679.2    304.20     0.90    -9999
SOUTH POLE 120517 300  162000-162500   00     308.34  679.1    306.50     1.70    -9999
SOUTH POLE 120517 300  162500-163000   00     308.30  679.1    306.43     1.70    -9999
SOUTH POLE 120517 300  163000-163500   00     309.03  679.1    307.07     1.90    -9999
SOUTH POLE 120517 300  163500-164000   00     307.98  679.0    305.95     1.50    -9999
SOUTH POLE 120517 300  164000-164500   00     309.76  679.0    307.65     2.10    -9999
SOUTH POLE 120517 300  164500-165000   00     308.40  679.0    306.17     1.60    -9999
SOUTH POLE 120517 300  165000-165500   00     307.30  678.9    304.94     1.20    -9999
SOUTH POLE 120517 300  165500-170000   00     307.34  678.9    304.89     1.20    -9999
SOUTH POLE 120517 300  170000-170500   00     308.18  678.8    305.66     1.40    -9999
SOUTH POLE 120517 300  170500-171000   00     306.01  678.8    303.44     0.70    -9999
SOUTH POLE 120517 300  171000-171500   00     309.15  678.8    306.45     1.70    -9999
SOUTH POLE 120517 300  171500-172000   00     307.75  678.7    304.95     1.20    -9999
SOUTH POLE 120517 300  172000-172500   00     310.70  678.6    307.72     2.10    -9999
