,,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
19,2,90.0,0.0,5.0,0.10892877674568346,0.1494880415482125,0.05957150724571499,0.07397433823622712,0.04742020762295831,0.031306966111314276,4.742020762295831e-15,4.742020762295831e-10,2012-05-17 03:30:00+00:00
19,3,90.0,0.0,12.0,3.9589200769317423,4.9153998821812515,2.6235007917731172,2.311579481914539,1.4700476266819507,0.9725079379673032,1.4700476266819507e-13,1.4700476266819506e-08,2012-05-17 03:30:00+00:00
19,4,90.0,0.0,20.0,73.78268549860654,49.048503263792455,48.339654725339855,11.559042792490786,7.016905094259211,4.5099499909459,7.016905094259211e-13,7.01690509425921e-08,2012-05-17 03:30:00+00:00
20,0,90.0,0.0,0.0,0.0011665819135257278,0.001647551623272364,0.00012130381709309177,0.0008145892681053171,0.00046326102967725303,0.0003013978954972942,4.6326102967725305e-17,4.63261029677253e-12,2012-05-17 03:35:00+00:00
20,1,90.0,0.0,2.0,0.00855078101226876,0.012186328402226328,0.0017979126012028976,0.006047185241470273,0.003779331447154826,0.0024007432652195515,3.779331447154826e-16,3.779331447154826e-11,2012-05-17 03:35:00+00:00
20,2,90.0,0.0,5.0,0.09951475650174846,0.1372570647338652,0.05390480030350282,0.06798864719126874,0.0435423853138653,0.02870177373152858,4.35423853138653e-15,4.35423853138653e-10,2012-05-17 03:35:00+00:00
20,3,90.0,0.0,12.0,3.638090059213418,4.583036021055651,2.4263445337663785,2.1665593821828892,1.3771070512955812,0.9095704389937536,1.3771070512955812e-13,1.3771070512955813e-08,2012-05-17 03:35:00+00:00
20,4,90.0,0.0,20.0,69.9948306525153,47.03952576900388,46.618151765070735,11.058162822938744,6.708697037254575,4.303882297876948,6.708697037254576e-13,6.708697037254576e-08,2012-05-17 03:35:00+00:00
21,0,90.0,0.0,0.0,0.0010388190734156016,0.001466945181522256,0.00010194319557475162,0.0007258603299337208,0.00040979131859042456,0.00026731005087177434,4.097913185904246e-17,4.097913185904246e-12,2012-05-17 03:40:00+00:00
21,1,90.0,0.0,2.0,0.007676914103079092,0.01099832335463166,0.001499099829500452,0.0054633265635392406,0.0034094540882515893,0.0021550180712891324,3.4094540882515896e-16,3.409454088251589e-11,2012-05-17 03:40:00+00:00
21,2,90.0,0.0,5.0,0.09045697716476576,0.12548576884854615,0.048522907400740806,0.06222068340172868,0.03979876782252898,0.026184391885040393,3.9798767822528985e-15,3.9798767822528983e-10,2012-05-17 03:40:00+00:00
21,3,90.0,0.0,12.0,3.327481868379071,4.2647032195968855,2.2363173928035596,2.0283568482700507,1.2884235230760102,0.8493252506158879,1.2884235230760101e-13,1.2884235230760101e-08,2012-05-17 03:40:00+00:00
21,4,90.0,0.0,20.0,66.37793885772533,45.26066702025463,45.166731373000765,10.610422496758494,6.432293678152279,4.117117981898375,6.432293678152279e-13,6.432293678152279e-08,2012-05-17 03:40:00+00:00
